Date,Open,High,Low,Close,adj_close,Volume
10/20/1993,1,1.008929,0.973214,0.991071,0.281824,34602400
10/21/1993,0.982143,1.116071,0.973214,1.080357,0.307214,156777600
10/22/1993,1.089286,1.125,1.0625,1.080357,0.307214,99019200
10/25/1993,1.080357,1.089286,1.058036,1.071429,0.304675,54782000
10/26/1993,1.0625,1.071429,1.035714,1.0625,0.302136,55619200
10/27/1993,1.071429,1.151786,1.0625,1.133929,0.322448,114766400
10/28/1993,1.133929,1.151786,1.107143,1.107143,0.314831,61115600
10/29/1993,1.107143,1.133929,1.089286,1.098214,0.312292,34216000
11/1/1993,1.098214,1.125,1.080357,1.125,0.319909,26493600
11/2/1993,1.116071,1.178571,1.107143,1.169643,0.332604,56061600
11/3/1993,1.178571,1.178571,1.107143,1.129464,0.321178,44240000
11/4/1993,1.125,1.151786,1.098214,1.151786,0.327526,46342800
11/5/1993,1.138393,1.151786,1.098214,1.138393,0.323717,94508400
11/8/1993,1.142857,1.147321,1.089286,1.098214,0.312292,41748000
11/9/1993,1.107143,1.116071,1.0625,1.075893,0.305944,42812000
11/10/1993,1.080357,1.098214,1.071429,1.098214,0.312292,19244400
11/11/1993,1.098214,1.142857,1.089286,1.120536,0.318639,35607600
11/12/1993,1.125,1.142857,1.089286,1.133929,0.322448,35915600
11/15/1993,1.125,1.169643,1.125,1.142857,0.324987,39275600
11/16/1993,1.142857,1.223214,1.133929,1.214286,0.345298,75770800
11/17/1993,1.214286,1.25,1.169643,1.196429,0.34022,75656000
11/18/1993,1.196429,1.205357,1.178571,1.196429,0.34022,28602000
11/19/1993,1.178571,1.196429,1.160714,1.178571,0.372504,30741200
11/22/1993,1.169643,1.178571,1.151786,1.160714,0.36686,37651600
11/23/1993,1.160714,1.178571,1.116071,1.178571,0.372504,46541600
11/24/1993,1.169643,1.196429,1.165179,1.178571,0.372504,22610000
11/26/1993,1.169643,1.178571,1.151786,1.165179,0.368271,10861200
11/29/1993,1.151786,1.160714,1.125,1.133929,0.358394,24178000
11/30/1993,1.133929,1.165179,1.125,1.125,0.355572,28165200
12/1/1993,1.142857,1.151786,1.116071,1.125,0.355572,27804000
12/2/1993,1.133929,1.142857,1.107143,1.133929,0.358394,25163600
12/3/1993,1.133929,1.142857,1.107143,1.125,0.355572,30116800
12/6/1993,1.125,1.160714,1.116071,1.151786,0.364038,39244800
12/7/1993,1.142857,1.151786,1.125,1.151786,0.364038,15962800
12/8/1993,1.142857,1.151786,1.125,1.138393,0.359805,9898000
12/9/1993,1.133929,1.142857,1.0625,1.071429,0.33864,45690400
12/10/1993,1.080357,1.089286,0.991071,1.008929,0.318886,124314400
12/13/1993,1.008929,1.053571,0.991071,1.053571,0.332996,61082000
12/14/1993,1.044643,1.0625,1.035714,1.040179,0.328763,73416000
12/15/1993,1.035714,1.0625,1.035714,1.0625,0.335818,30970800
12/16/1993,1.053571,1.0625,1.035714,1.049107,0.331585,31592400
12/17/1993,1.053571,1.0625,1.040179,1.053571,0.332996,36288000
12/20/1993,1.044643,1.0625,1.008929,1.017857,0.321708,47258400
12/21/1993,1.017857,1.026786,0.973214,0.982143,0.31042,62781600
12/22/1993,0.973214,1.017857,0.964286,1,0.316064,45343200
12/23/1993,0.973214,0.973214,0.946429,0.973214,0.307598,56739200
12/27/1993,0.991071,1.026786,0.973214,1.017857,0.321708,39984000
12/28/1993,1.026786,1.053571,1.017857,1.040179,0.328763,39874800
12/29/1993,1.044643,1.044643,1.017857,1.017857,0.321708,26838000
12/30/1993,1.017857,1.080357,1.017857,1.0625,0.335818,78638000
12/31/1993,1.0625,1.080357,1.044643,1.044643,0.330174,40241600
1/3/1994,1.053571,1.071429,1.035714,1.066964,0.337229,45382400
1/4/1994,1.080357,1.125,1.071429,1.125,0.355572,71293600
1/5/1994,1.133929,1.209821,1.133929,1.205357,0.38097,153034000
1/6/1994,1.205357,1.214286,1.160714,1.169643,0.369682,91627200
1/7/1994,1.142857,1.1875,1.116071,1.183036,0.373915,74698400
1/10/1994,1.178571,1.209821,1.169643,1.200893,0.379559,50397200
